module_id	module_name	tier	source_org_count	source_orgs
M00115	NAD biosynthesis, aspartate => quinolinate => NAD	A	45	aae,aba,ade,afr,alam,bba,bsed,bsr,bsu,bth,btho,caby,cac,cae,ccz,cprv,cte,ddf,din,dth,ecj,eco,fml,fnu,fsu,gsk,gsu,ial,lpro,mbf,nli,nme,nmp,ote,rba,rmr,syn,syz,tai,tma,tnr,ttk,tye,vai,vbl
M00116	Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol	A	5	bsr,bsu,cte,ecj,eco
M00117	Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol	A	3	afr,ecj,eco
M00118	Glutathione biosynthesis, glutamate => glutathione	A	9	afr,bsed,din,ecj,eco,lpro,mbf,nme,nmp
M00119	Pantothenate biosynthesis, valine/L-aspartate => pantothenate	A	20	aae,ade,bsr,bsu,bth,btho,cac,cae,ddf,din,ecj,eco,fsu,mbf,nli,rba,tai,tnr,tye,vai
M00120	Coenzyme A biosynthesis, pantothenate => CoA	A	61	aae,aba,ade,afr,alam,apr,apv,bba,bbu,bbz,bsed,bsu,bth,btho,caby,cac,caci,cae,ccz,cex,cpo,cprv,cte,ddf,det,din,dra,ecj,eco,fma,fml,fnu,fsu,fvg,gau,gsk,gsu,heo,hin,hit,hpy,ial,lpro,mbf,nli,nme,nmp,ote,rba,rmr,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
M00121	Heme biosynthesis, plants and bacteria, glutamate => heme	A	18	aae,ade,bsed,cprv,ctd,ctr,ecj,eco,gau,heo,hpy,ial,nme,nmp,ote,rmr,syn,syz
M00122	Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin	A	5	det,dra,fnu,gsk,gsu
M00123	Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	A	26	aae,ade,afr,bsr,bsu,bth,btho,cte,ddf,din,ecj,eco,fnu,gau,heo,hin,hit,hpy,mbf,nli,nme,nmp,rba,rmr,tnr,tye
M00124	Pyridoxal phosphate biosynthesis, erythrose-4P => pyridoxal-P	A	2	ecj,eco
M00125	Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD	A	8	bsr,bsu,bth,btho,ecj,eco,fml,tro
M00126	Tetrahydrofolate biosynthesis, GTP => THF	A	15	bsed,bsr,bsu,bth,btho,cprv,ecj,eco,hin,hit,ial,lpro,nme,nmp,rmr
M00127	Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP	A	3	ddf,ecj,eco
M00133	Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine	A	8	bsed,bsr,bsu,ddf,ecj,eco,mbf,ttk
M00136	GABA biosynthesis, prokaryotes, putrescine => GABA	A	2	ecj,eco
M00140	C1-unit interconversion, prokaryotes	A	26	alam,apr,bth,btho,cac,cae,ccz,cex,cpo,cprv,det,dth,emi,fma,fml,gau,nli,nmp,ote,tai,tma,tnr,tro,tye,vai,vbl
M00144	NADH:quinone oxidoreductase, prokaryotes	A	26	aae,aba,ade,afr,bba,bsed,caby,cprv,ddf,dra,ecj,eco,gau,gsk,gsu,heo,hpy,ial,nli,nme,nmp,ote,rmr,rpo,rpr,vab
M00145	NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria	A	2	syn,syz
M00149	Succinate dehydrogenase, prokaryotes	A	13	ddf,dra,ecj,eco,fml,nme,nmp,rmr,rpo,rpr,tro,ttk,tye
M00150	Fumarate reductase, prokaryotes	A	4	ecj,eco,hin,hit
M00151	Cytochrome bc1 complex respiratory unit	A	9	aae,afr,bsr,bsu,heo,nme,nmp,rpo,rpr
M00153	Cytochrome bd ubiquinol oxidase	A	2	ecj,eco
M00155	Cytochrome c oxidase, prokaryotes	A	25	aae,aba,ade,afr,bba,bsed,bsr,bsu,caby,ccz,cprv,gau,gsk,gsu,ial,lpro,ote,rba,rmr,rpo,rpr,syn,syz,tro,vab
M00156	Cytochrome c oxidase, cbb3-type	A	6	bba,bsed,gau,heo,hpy,nmp
M00157	F-type ATPase, prokaryotes and chloroplasts	A	55	aae,aba,ade,afr,apv,bba,bsed,bsr,bsu,bth,btho,caby,cac,cae,ccz,cprv,cte,ddf,det,din,ecj,eco,emi,fnu,fvg,gau,gsk,gsu,heo,hin,hit,hpy,ial,lpro,mbf,mmy,mmym,nli,nme,nmp,ote,rba,rmr,rpo,rpr,saal,sox,syn,syz,tma,tnr,tro,ttk,tye,vab
M00159	V/A-type ATPase, prokaryotes	A	3	apr,fma,tai
