pathway_id	pathway_name	source_org_count	source_orgs
ko00600	Sphingolipid metabolism - Bacillus subtilis subsp. subtilis 168	28	aba,apr,bsr,bsu,bth,ccz,cex,cte,ddf,dth,ecj,eco,emi,fml,fsu,gau,ial,nli,ote,rba,rmr,syn,syz,tma,ttk,tye,vai,vbl
ko00620	Pyruvate metabolism - Fannyhessea vaginae	63	aae,aba,ade,afr,apr,apv,bba,bbu,bbz,bsr,bsu,bth,cac,cae,ccz,cex,cpo,ctd,cte,ctr,ddf,det,din,dra,dth,ecj,eco,emi,fma,fml,fnu,fsu,fvg,gau,gsk,gsu,heo,hin,hit,hpy,ial,mbf,mmy,nli,nme,nmp,ote,rba,rmr,rpo,rpr,sox,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
ko00621	Dioxin degradation - Escherichia coli K-12 MG1655	3	ecj,eco,tro
ko00622	Xylene degradation - Bacillus subtilis subsp. subtilis 168	13	aba,bsr,bsu,dra,ecj,eco,gau,ial,nli,ote,rmr,tro,vab
ko00623	Toluene degradation - Escherichia coli K-12 MG1655	11	aae,aba,afr,ccz,ecj,eco,rba,syn,syz,tro,vab
ko00624	Polycyclic aromatic hydrocarbon degradation - Vulcanimicrobium alpinum	1	vab
ko00625	Chloroalkane and chloroalkene degradation - Fannyhessea vaginae	42	aba,ade,afr,apr,apv,bba,bsr,bsu,cac,cae,ccz,cex,cte,ddf,dra,dth,ecj,eco,emi,fma,fml,fnu,fsu,fvg,gau,gsk,gsu,hin,mbf,nme,nmp,ote,rba,rmr,syn,syz,tnr,tro,ttk,tye,vab,vbl
ko00626	Naphthalene degradation - Fannyhessea vaginae	34	aba,ade,afr,apv,bba,bsr,bsu,cac,cae,ccz,cex,cte,ddf,dth,ecj,eco,emi,fml,fvg,gau,gsk,gsu,hin,mbf,nme,nmp,rmr,syn,syz,tnr,tro,tye,vab,vbl
ko00627	Aminobenzoate degradation - Bacillus subtilis subsp. subtilis 168	30	aba,ade,afr,bsr,bsu,cac,cae,ddf,din,dra,ecj,eco,fml,gau,gsk,gsu,heo,hpy,ial,nli,rba,rmr,syn,syz,tma,tnr,tro,ttk,tye,vab
ko00630	Glyoxylate and dicarboxylate metabolism - Fannyhessea vaginae	62	aae,aba,ade,afr,apr,apv,bba,bbu,bbz,bsr,bsu,bth,cac,cae,ccz,cex,cpo,ctd,cte,ctr,ddf,det,din,dra,dth,ecj,eco,emi,fma,fml,fnu,fsu,fvg,gau,gsk,gsu,heo,hin,hit,hpy,ial,mbf,mmy,nli,nme,nmp,ote,rba,rmr,rpo,rpr,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
ko00633	Nitrotoluene degradation - Escherichia coli K-12 MG1655	20	aae,cac,cae,cpo,cte,ddf,det,din,dth,ecj,eco,gau,gsk,gsu,nli,rba,tma,tnr,ttk,tye
ko00640	Propanoate metabolism - Fannyhessea vaginae	62	aae,aba,ade,afr,apr,apv,bba,bbu,bbz,bsr,bsu,bth,cac,cae,ccz,cex,cpo,ctd,cte,ctr,ddf,det,din,dra,dth,ecj,eco,emi,fma,fml,fnu,fsu,fvg,gau,gsk,gsu,heo,hin,hit,hpy,ial,mbf,mmy,nli,nme,nmp,ote,rba,rmr,rpo,rpr,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
ko00643	Styrene degradation - Helicobacter pylori 26695	15	aba,ade,bba,dra,fnu,gau,heo,hpy,ial,rmr,syn,syz,tma,tro,vab
ko00650	Butanoate metabolism - Fannyhessea vaginae	59	aae,aba,ade,afr,apr,apv,bba,bbu,bbz,bsr,bsu,bth,cac,cae,ccz,cex,cpo,cte,ddf,det,din,dra,dth,ecj,eco,emi,fma,fml,fnu,fsu,fvg,gau,gsk,gsu,heo,hin,hit,hpy,ial,mbf,nli,nme,nmp,ote,rba,rmr,rpo,rpr,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
ko00660	C5-Branched dibasic acid metabolism - Haemophilus influenzae Rd KW20 (serotype d)	43	aae,aba,ade,afr,bsr,bsu,bth,cac,cae,ccz,cte,ddf,det,din,dra,dth,ecj,eco,emi,fml,fsu,gsk,gsu,hin,hit,mbf,nli,nme,nmp,ote,rba,rmr,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
ko00670	One carbon pool by folate - Fannyhessea vaginae	63	aae,aba,ade,afr,apr,apv,bba,bbu,bbz,bsr,bsu,bth,cac,cae,ccz,cex,cpo,ctd,cte,ctr,ddf,det,din,dra,dth,ecj,eco,emi,fma,fml,fnu,fsu,fvg,gau,gsk,gsu,heo,hin,hit,hpy,ial,mbf,mmy,nli,nme,nmp,ote,rba,rmr,rpo,rpr,sox,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
ko00680	Methane metabolism - Fannyhessea vaginae	63	aae,aba,ade,afr,apr,apv,bba,bbu,bbz,bsr,bsu,bth,cac,cae,ccz,cex,cpo,ctd,cte,ctr,ddf,det,din,dra,dth,ecj,eco,emi,fma,fml,fnu,fsu,fvg,gau,gsk,gsu,heo,hin,hit,hpy,ial,mbf,mmy,nli,nme,nmp,ote,rba,rmr,rpo,rpr,sox,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
ko00710	Carbon fixation by Calvin cycle - Fannyhessea vaginae	63	aae,aba,ade,afr,apr,apv,bba,bbu,bbz,bsr,bsu,bth,cac,cae,ccz,cex,cpo,ctd,cte,ctr,ddf,det,din,dra,dth,ecj,eco,emi,fma,fml,fnu,fsu,fvg,gau,gsk,gsu,heo,hin,hit,hpy,ial,mbf,mmy,nli,nme,nmp,ote,rba,rmr,rpo,rpr,sox,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
ko00720	Other carbon fixation pathways - Fannyhessea vaginae	63	aae,aba,ade,afr,apr,apv,bba,bbu,bbz,bsr,bsu,bth,cac,cae,ccz,cex,cpo,ctd,cte,ctr,ddf,det,din,dra,dth,ecj,eco,emi,fma,fml,fnu,fsu,fvg,gau,gsk,gsu,heo,hin,hit,hpy,ial,mbf,mmy,nli,nme,nmp,ote,rba,rmr,rpo,rpr,sox,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
ko00730	Thiamine metabolism - Fannyhessea vaginae	63	aae,aba,ade,afr,apr,apv,bba,bbu,bbz,bsr,bsu,bth,cac,cae,ccz,cex,cpo,ctd,cte,ctr,ddf,det,din,dra,dth,ecj,eco,emi,fma,fml,fnu,fsu,fvg,gau,gsk,gsu,heo,hin,hit,hpy,ial,mbf,mmy,nli,nme,nmp,ote,rba,rmr,rpo,rpr,sox,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
ko00740	Riboflavin metabolism - Fannyhessea vaginae	58	aae,aba,ade,afr,apr,apv,bba,bsr,bsu,bth,cac,cae,ccz,cex,cpo,ctd,cte,ctr,ddf,det,din,dra,dth,ecj,eco,emi,fma,fml,fnu,fsu,fvg,gau,gsk,gsu,heo,hin,hit,hpy,ial,mbf,mmy,nli,nme,nmp,ote,rba,rmr,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
